,Tipo,Descripcion,Habitaciones,Banos,Area,Barrio,UPZ,Valor,Moneda,Precio,Precio_Millon,Zona,Precio_m2
1554,Apartamento,Apartamento en venta en Usaquén,2,2,82,Usaquén,Usaquén,$ 460.000.000,$,460000000,460.0,Zona Norte,5.65558134903221
1555,Apartamento,Apartamento en venta en Usaquén,1,2,51,Usaquén,Usaquén,$ 430.000.000,$,430000000,430.0,Zona Norte,5.65558134903221
1556,Apartamento,Apartamento en venta en Usaquén,2,2,59,Usaquén,Usaquén,$ 380.000.000,$,380000000,380.0,Zona Norte,5.65558134903221
1557,Apartamento,Apartamento en venta en Usaquén,2,3,89,Usaquén,Usaquén,$ 760.000.000,$,760000000,760.0,Zona Norte,5.65558134903221
1558,Apartamento,Apartamento en venta en Usaquén,2,2,81,Usaquén,Usaquén,$ 465.000.000,$,465000000,465.0,Zona Norte,5.65558134903221
1559,Apartamento,Apartamento en venta en Usaquén,2,2,71,Usaquén,Usaquén,$ 476.500.000,$,476500000,476.5,Zona Norte,5.65558134903221
1560,Apartamento,Apartamento en venta en Usaquén,3,2,102,Usaquén,Usaquén,$ 610.000.000,$,610000000,610.0,Zona Norte,5.65558134903221
1561,Apartamento,Apartamento en venta en Usaquén,1,2,51,Usaquén,Usaquén,$ 430.000.000,$,430000000,430.0,Zona Norte,5.65558134903221
1562,Apartamento,Apartamento en venta en Usaquén,2,2,79,Usaquén,Usaquén,$ 483.000.000,$,483000000,483.0,Zona Norte,5.65558134903221
1563,Apartamento,Apartamento en venta en Usaquén,4,2,160,Usaquén,Usaquén,$ 390.000.000,$,390000000,390.0,Zona Norte,5.65558134903221
1564,Casa,Casa en venta en Usaquén,3,3,75,Usaquén,Usaquén,$ 330.000.000,$,330000000,330.0,Zona Norte,5.65558134903221
1565,Apartamento,Apartamento en venta en Usaquén,4,3,115,Usaquén,Usaquén,$ 500.000.000,$,500000000,500.0,Zona Norte,5.65558134903221
1567,Apartamento,Apartamento en venta en Usaquén,1,2,59,Usaquén,Usaquén,$ 369.000.000,$,369000000,369.0,Zona Norte,5.65558134903221
1568,Apartamento,Apartamento en venta en Usaquén,2,2,61,Usaquén,Usaquén,$ 285.000.000,$,285000000,285.0,Zona Norte,5.65558134903221
1569,Apartamento,Apartamento en venta en Usaquén,3,2,79,Usaquén,Usaquén,$ 300.000.000,$,300000000,300.0,Zona Norte,5.65558134903221
1570,Apartamento,Apartamento en venta en Usaquén,3,3,137,Usaquén,Usaquén,$ 1.200.000.000,$,1200000000,1200.0,Zona Norte,5.65558134903221
1571,Apartamento,Apartamento en venta en Usaquén,3,2,79,Usaquén,Usaquén,$ 300.000.000,$,300000000,300.0,Zona Norte,5.65558134903221
1572,Apartamento,Apartamento en venta en Usaquén,3,4,206,Usaquén,Usaquén,$ 1.250.000.000,$,1250000000,1250.0,Zona Norte,5.65558134903221
1573,Apartamento,Apartamento en venta en Usaquén,3,3,149,Usaquén,Usaquén,$ 1.170.000.000,$,1170000000,1170.0,Zona Norte,5.65558134903221
1574,Apartamento,Apartamento en venta en Usaquén,3,2,79,Usaquén,Usaquén,$ 300.000.000,$,300000000,300.0,Zona Norte,5.65558134903221
1575,Apartamento,Apartamento en venta en Usaquén,2,2,82,Usaquén,Usaquén,$ 460.000.000,$,460000000,460.0,Zona Norte,5.65558134903221
1576,Apartamento,Apartamento en venta en Usaquén,3,2,79,Usaquén,Usaquén,$ 300.000.000,$,300000000,300.0,Zona Norte,5.65558134903221
1577,Casa,Casa en venta en Usaquén,4,4,150,Usaquén,Usaquén,$ 480.000.000,$,480000000,480.0,Zona Norte,5.65558134903221
1578,Casa,Casa en venta en Usaquén,3,3,117,Usaquén,Usaquén,$ 750.000.000,$,750000000,750.0,Zona Norte,5.65558134903221
1579,Casa,Casa en venta en Usaquén,3,3,144,Usaquén,Usaquén,$ 650.000.000,$,650000000,650.0,Zona Norte,5.65558134903221
1580,Apartamento,Apartamento en venta en Usaquén,3,4,181,Usaquén,Usaquén,$ 870.000.000,$,870000000,870.0,Zona Norte,5.65558134903221
1581,Apartamento,Apartamento en venta en Usaquén,2,3,105,Usaquén,Usaquén,$ 889.000.000,$,889000000,889.0,Zona Norte,5.65558134903221
1582,Apartamento,Apartamento en venta en Usaquén,2,2,70,Usaquén,Usaquén,$ 319.000.000,$,319000000,319.0,Zona Norte,5.65558134903221
1584,Apartamento,Apartamento en venta en Usaquén,3,3,151,Usaquén,Usaquén,$ 880.000.000,$,880000000,880.0,Zona Norte,5.65558134903221
1585,Casa,Casa en venta en Usaquén,2,2,118,Usaquén,Usaquén,$ 590.000.000,$,590000000,590.0,Zona Norte,5.65558134903221
1586,Casa,Casa en venta en Usaquén,5,4,154,Usaquén,Usaquén,$ 630.000.000,$,630000000,630.0,Zona Norte,5.65558134903221
1587,Apartamento,Apartamento en venta en Usaquén,2,2,110,Usaquén,Usaquén,$ 1.200.000.000,$,1200000000,1200.0,Zona Norte,5.65558134903221
1588,Apartamento,Apartamento en venta en Usaquén,3,3,108,Usaquén,Usaquén,$ 580.000.000,$,580000000,580.0,Zona Norte,5.65558134903221
1589,Apartamento,Apartamento en venta en Usaquén,2,3,97,Usaquén,Usaquén,$ 695.000.000,$,695000000,695.0,Zona Norte,5.65558134903221
1590,Apartamento,Apartamento en venta en Usaquén,2,2,91,Usaquén,Usaquén,$ 490.000.000,$,490000000,490.0,Zona Norte,5.65558134903221
1591,Apartamento,Apartamento en venta en Usaquén,3,2,101,Usaquén,Usaquén,$ 710.000.000,$,710000000,710.0,Zona Norte,5.65558134903221
1592,Apartamento,Apartamento en venta en Usaquén,2,2,71,Usaquén,Usaquén,$ 476.500.000,$,476500000,476.5,Zona Norte,5.65558134903221
1593,Apartamento,Apartamento en venta en Usaquén,2,2,81,Usaquén,Usaquén,$ 465.000.000,$,465000000,465.0,Zona Norte,5.65558134903221
1595,Apartamento,Apartamento en venta en Usaquén,2,2,60,Usaquén,Usaquén,$ 422.000.000,$,422000000,422.0,Zona Norte,5.65558134903221
1596,Apartamento,Apartamento en venta en Usaquén,4,5,196,Usaquén,Usaquén,$ 1.000.000.000,$,1000000000,1000.0,Zona Norte,5.65558134903221
1597,Apartamento,Apartamento en venta en Usaquén,1,2,65,Usaquén,Usaquén,$ 356.000.000,$,356000000,356.0,Zona Norte,5.65558134903221
1598,Casa,Casa en venta en Usaquén,3,4,178,Usaquén,Usaquén,$ 1.170.000.000,$,1170000000,1170.0,Zona Norte,5.65558134903221
1599,Apartamento,Apartamento en venta en Usaquén,2,2,60,Usaquén,Usaquén,$ 422.000.000,$,422000000,422.0,Zona Norte,5.65558134903221
1600,Apartamento,Apartamento en venta en Usaquén,3,3,93,Usaquén,Usaquén,$ 560.000.000,$,560000000,560.0,Zona Norte,5.65558134903221
1601,Apartamento,Apartamento en venta en Usaquén,2,2,60,Usaquén,Usaquén,$ 422.000.000,$,422000000,422.0,Zona Norte,5.65558134903221
1602,Apartamento,Apartamento en venta en Usaquén,1,2,66,Usaquén,Usaquén,$ 449.500.000,$,449500000,449.5,Zona Norte,5.65558134903221
1603,Apartamento,Apartamento en venta en Usaquén,3,3,164,Usaquén,Usaquén,$ 850.000.000,$,850000000,850.0,Zona Norte,5.65558134903221
1604,Apartamento,Apartamento en venta en Usaquén,2,2,60,Usaquén,Usaquén,$ 422.000.000,$,422000000,422.0,Zona Norte,5.65558134903221
1605,Oficina/Consultorio,Oficina/Consultorio en venta en Usaquén,1,1,45,Usaquén,Usaquén,$ 320.000.000,$,320000000,320.0,Zona Norte,5.65558134903221
1606,Apartamento,Apartamento en venta en Usaquén,2,3,79,Usaquén,Usaquén,$ 550.000.000,$,550000000,550.0,Zona Norte,5.65558134903221
1607,Apartamento,Apartamento en venta en Usaquén,2,2,60,Usaquén,Usaquén,$ 422.000.000,$,422000000,422.0,Zona Norte,5.65558134903221
1608,Apartamento,Apartamento en venta en Usaquén,4,5,196,Usaquén,Usaquén,$ 1.000.000.000,$,1000000000,1000.0,Zona Norte,5.65558134903221
1609,Apartamento,Apartamento en venta en Usaquén,1,2,65,Usaquén,Usaquén,$ 356.000.000,$,356000000,356.0,Zona Norte,5.65558134903221
1610,Apartamento,Apartamento en venta en Usaquén,2,2,77,Usaquén,Usaquén,$ 355.000.000,$,355000000,355.0,Zona Norte,5.65558134903221
1611,Apartamento,Apartamento en venta en Usaquén,2,2,60,Usaquén,Usaquén,$ 422.000.000,$,422000000,422.0,Zona Norte,5.65558134903221
1612,Apartamento,Apartamento en venta en Usaquén,2,3,97,Usaquén,Usaquén,$ 695.000.000,$,695000000,695.0,Zona Norte,5.65558134903221
1613,Apartamento,Apartamento en venta en Usaquén,2,3,98,Usaquén,Usaquén,$ 770.000.000,$,770000000,770.0,Zona Norte,5.65558134903221
1614,Apartamento,Apartamento en venta en Usaquén,2,2,81,Usaquén,Usaquén,$ 465.000.000,$,465000000,465.0,Zona Norte,5.65558134903221
1615,Apartamento,Apartamento en venta en Usaquén,2,2,81,Usaquén,Usaquén,$ 465.000.000,$,465000000,465.0,Zona Norte,5.65558134903221
1617,Apartamento,Apartamento en venta en Usaquén,1,2,65,Usaquén,Usaquén,$ 535.000.000,$,535000000,535.0,Zona Norte,5.65558134903221
1618,Apartamento,Apartamento en venta en Usaquén,2,2,83,Usaquén,Usaquén,$ 475.000.000,$,475000000,475.0,Zona Norte,5.65558134903221
1619,Apartamento,Apartamento en venta en Usaquén,2,3,85,Usaquén,Usaquén,$ 400.000.000,$,400000000,400.0,Zona Norte,5.65558134903221
1620,Apartamento,Apartamento en venta en Usaquén,2,3,92,Usaquén,Usaquén,$ 360.000.000,$,360000000,360.0,Zona Norte,5.65558134903221
1622,Apartamento,Apartamento en venta en Usaquén,2,4,141,Usaquén,Usaquén,$ 1.036.000.000,$,1036000000,1036.0,Zona Norte,5.65558134903221
1623,Casa,Casa en venta en Usaquén,3,4,189,Usaquén,Usaquén,$ 700.000.000,$,700000000,700.0,Zona Norte,5.65558134903221
1624,Apartamento,Apartamento en venta en Usaquén,3,3,160,Usaquén,Usaquén,$ 830.000.000,$,830000000,830.0,Zona Norte,5.65558134903221
1625,Apartamento,Apartamento en venta en Usaquén,3,2,56,Usaquén,Usaquén,$ 220.800.000,$,220800000,220.8,Zona Norte,5.65558134903221
1626,Apartamento,Apartamento en venta en Usaquén,3,5,185,Usaquén,Usaquén,$ 1.670.000.000,$,1670000000,1670.0,Zona Norte,5.65558134903221
1627,Apartamento,Apartamento en venta en Usaquén,2,2,76,Usaquén,Usaquén,$ 350.000.000,$,350000000,350.0,Zona Norte,5.65558134903221
1628,Apartamento,Apartamento en venta en Usaquén,2,2,77,Usaquén,Usaquén,$ 375.000.000,$,375000000,375.0,Zona Norte,5.65558134903221
1629,Apartamento,Apartamento en venta en Usaquén,3,2,88,Usaquén,Usaquén,$ 408.000.000,$,408000000,408.0,Zona Norte,5.65558134903221
1630,Apartamento,Apartamento en venta en Usaquén,3,5,198,Usaquén,Usaquén,$ 1.350.000.000,$,1350000000,1350.0,Zona Norte,5.65558134903221
1632,Apartamento,Apartamento en venta en Usaquén,3,4,170,Usaquén,Usaquén,$ 950.000.000,$,950000000,950.0,Zona Norte,5.65558134903221
1634,Apartamento,Apartamento en venta en Usaquén,3,3,96,Usaquén,Usaquén,$ 479.000.000,$,479000000,479.0,Zona Norte,5.65558134903221
1635,Apartamento,Apartamento en venta en Usaquén,3,2,102,Usaquén,Usaquén,$ 370.260.000,$,370260000,370.26,Zona Norte,5.65558134903221
1636,Apartamento,Apartamento en venta en Usaquén,3,3,170,Usaquén,Usaquén,$ 1.000.000.000,$,1000000000,1000.0,Zona Norte,5.65558134903221
1637,Apartamento,Apartamento en venta en Usaquén,3,1,54,Usaquén,Usaquén,$ 195.000.000,$,195000000,195.0,Zona Norte,5.65558134903221
1638,Apartamento,Apartamento en venta en Usaquén,3,2,88,Usaquén,Usaquén,$ 408.000.000,$,408000000,408.0,Zona Norte,5.65558134903221
1639,Apartamento,Apartamento en venta en Usaquén,3,3,136,Usaquén,Usaquén,$ 850.000.000,$,850000000,850.0,Zona Norte,5.65558134903221
1640,Casa,Casa en venta en Usaquén,5,4,147,Usaquén,Usaquén,$ 522.500.000,$,522500000,522.5,Zona Norte,5.65558134903221
1641,Apartamento,Apartamento en venta en Usaquén,3,5,148,Usaquén,Usaquén,$ 880.000.000,$,880000000,880.0,Zona Norte,5.65558134903221
1642,Apartamento,Apartamento en venta en Usaquén,3,5,148,Usaquén,Usaquén,$ 880.000.000,$,880000000,880.0,Zona Norte,5.65558134903221
1643,Apartamento,Apartamento en venta en Usaquén,3,3,66,Usaquén,Usaquén,$ 257.000.000,$,257000000,257.0,Zona Norte,5.65558134903221
1644,Apartamento,Apartamento en venta en Usaquén,3,2,85,Usaquén,Usaquén,$ 370.000.000,$,370000000,370.0,Zona Norte,5.65558134903221
1645,Apartamento,Apartamento en venta en Usaquén,2,1,54,Usaquén,Usaquén,$ 195.000.000,$,195000000,195.0,Zona Norte,5.65558134903221
1646,Apartamento,Apartamento en venta en Usaquén,2,2,51,Usaquén,Usaquén,$ 205.000.000,$,205000000,205.0,Zona Norte,5.65558134903221
1647,Casa,Casa en venta en Usaquén,3,5,231,Usaquén,Usaquén,$ 1.450.000.000,$,1450000000,1450.0,Zona Norte,5.65558134903221
1648,Apartamento,Apartamento en venta en Usaquén,2,2,58,Usaquén,Usaquén,$ 330.000.000,$,330000000,330.0,Zona Norte,5.65558134903221
1649,Casa,Casa en venta en Usaquén,4,3,202,Usaquén,Usaquén,$ 1.200.000.000,$,1200000000,1200.0,Zona Norte,5.65558134903221
1650,Apartamento,Apartamento en venta en Usaquén,2,2,79,Usaquén,Usaquén,$ 483.000.000,$,483000000,483.0,Zona Norte,5.65558134903221
1651,Apartamento,Apartamento en venta en Usaquén,1,2,78,Usaquén,Usaquén,$ 595.000.000,$,595000000,595.0,Zona Norte,5.65558134903221
1652,Apartamento,Apartamento en venta en Usaquén,3,4,170,Usaquén,Usaquén,$ 1.320.000.000,$,1320000000,1320.0,Zona Norte,5.65558134903221
1653,Apartamento,Apartamento en venta en Usaquén,3,4,173,Usaquén,Usaquén,$ 750.000.000,$,750000000,750.0,Zona Norte,5.65558134903221
1654,Casa,Casa en venta en Usaquén,2,2,72,Usaquén,Usaquén,$ 170.000.000,$,170000000,170.0,Zona Norte,5.65558134903221
1655,Apartamento,Apartamento en venta en Usaquén,2,2,84,Usaquén,Usaquén,$ 390.000.000,$,390000000,390.0,Zona Norte,5.65558134903221
1656,Apartamento,Apartamento en venta en Usaquén,3,3,111,Usaquén,Usaquén,$ 630.000.000,$,630000000,630.0,Zona Norte,5.65558134903221
1657,Apartamento,Apartamento en venta en Usaquén,3,3,106,Usaquén,Usaquén,$ 765.000.000,$,765000000,765.0,Zona Norte,5.65558134903221
1658,Apartamento,Apartamento en venta en Usaquén,2,3,79,Usaquén,Usaquén,$ 510.000.000,$,510000000,510.0,Zona Norte,5.65558134903221
1659,Apartamento,Apartamento en venta en Usaquén,1,2,59,Usaquén,Usaquén,$ 386.000.000,$,386000000,386.0,Zona Norte,5.65558134903221
1660,Apartamento,Apartamento en venta en Usaquén,2,3,86,Usaquén,Usaquén,$ 665.000.000,$,665000000,665.0,Zona Norte,5.65558134903221
1662,Apartamento,Apartamento en venta en Usaquén,3,3,151,Usaquén,Usaquén,$ 670.000.000,$,670000000,670.0,Zona Norte,5.65558134903221
1663,Apartamento,Apartamento en venta en Usaquén,3,4,159,Usaquén,Usaquén,$ 850.000.000,$,850000000,850.0,Zona Norte,5.65558134903221
1664,Apartamento,Apartamento en venta en Usaquén,1,1,60,Usaquén,Usaquén,$ 828.400.000,$,828400000,828.4,Zona Norte,5.65558134903221
1665,Casa,Casa en venta en Usaquén,3,3,152,Usaquén,Usaquén,$ 599.000.000,$,599000000,599.0,Zona Norte,5.65558134903221
1666,Apartamento,Apartamento en venta en Usaquén,2,4,103,Usaquén,Usaquén,$ 750.000.000,$,750000000,750.0,Zona Norte,5.65558134903221
1667,Casa,Casa en venta en Usaquén,2,2,82,Usaquén,Usaquén,$ 455.000.000,$,455000000,455.0,Zona Norte,5.65558134903221
1668,Apartamento,Apartamento en venta en Usaquén,3,3,77,Usaquén,Usaquén,$ 330.000.000,$,330000000,330.0,Zona Norte,5.65558134903221
1669,Apartamento,Apartamento en venta en Usaquén,3,3,105,Usaquén,Usaquén,$ 580.000.000,$,580000000,580.0,Zona Norte,5.65558134903221
1670,Apartamento,Apartamento en venta en Usaquén,3,3,125,Usaquén,Usaquén,$ 511.000.000,$,511000000,511.0,Zona Norte,5.65558134903221
1671,Apartamento,Apartamento en venta en Usaquén,3,4,210,Usaquén,Usaquén,$ 1.300.000.000,$,1300000000,1300.0,Zona Norte,5.65558134903221
1674,Apartamento,Apartamento en venta en Usaquén,2,2,63,Usaquén,Usaquén,$ 360.000.000,$,360000000,360.0,Zona Norte,5.65558134903221
1675,Apartamento,Apartamento en venta en Usaquén,3,3,128,Usaquén,Usaquén,$ 590.000.000,$,590000000,590.0,Zona Norte,5.65558134903221
1676,Apartamento,Apartamento en venta en Usaquén,5,4,150,Usaquén,Usaquén,$ 580.000.000,$,580000000,580.0,Zona Norte,5.65558134903221
1677,Casa,Casa en venta en Usaquén,10,6,200,Usaquén,Usaquén,$ 1.350.000.000,$,1350000000,1350.0,Zona Norte,5.65558134903221
1678,Apartamento,Apartamento en venta en Usaquén,5,3,193,Usaquén,Usaquén,$ 895.000.000,$,895000000,895.0,Zona Norte,5.65558134903221
1679,Apartamento,Apartamento en venta en Usaquén,2,2,50,Usaquén,Usaquén,$ 245.000.000,$,245000000,245.0,Zona Norte,5.65558134903221
1680,Apartamento,Apartamento en venta en Usaquén,4,5,193,Usaquén,Usaquén,$ 1.600.000.000,$,1600000000,1600.0,Zona Norte,5.65558134903221
1681,Apartamento,Apartamento en venta en Usaquén,3,3,101,Usaquén,Usaquén,$ 460.000.000,$,460000000,460.0,Zona Norte,5.65558134903221
1682,Apartamento,Apartamento en venta en Usaquén,4,5,193,Usaquén,Usaquén,$ 1.600.000.000,$,1600000000,1600.0,Zona Norte,5.65558134903221
1683,Apartamento,Apartamento en venta en Usaquén,2,2,50,Usaquén,Usaquén,$ 245.000.000,$,245000000,245.0,Zona Norte,5.65558134903221
1684,Casa,Casa en venta en Usaquén,3,3,152,Usaquén,Usaquén,$ 599.000.000,$,599000000,599.0,Zona Norte,5.65558134903221
1685,Apartamento,Apartamento en venta en Usaquén,3,3,170,Usaquén,Usaquén,$ 1.000.000.000,$,1000000000,1000.0,Zona Norte,5.65558134903221
1686,Apartamento,Apartamento en venta en Usaquén,3,5,157,Usaquén,Usaquén,$ 750.000.000,$,750000000,750.0,Zona Norte,5.65558134903221
1687,Apartamento,Apartamento en venta en Usaquén,3,3,151,Usaquén,Usaquén,$ 670.000.000,$,670000000,670.0,Zona Norte,5.65558134903221
1689,Apartamento,Apartamento en venta en Cundinamarca - Bogotá D.C.,3,2,130,Usaquén,Usaquén,$ 720.000.000,$,720000000,720.0,Zona Norte,5.65558134903221
1691,Apartamento,Apartamento en venta en Usaquén,3,2,95,Usaquén,Usaquén,$ 450.000.000,$,450000000,450.0,Zona Norte,5.65558134903221
1692,Apartamento,Apartamento en venta en Usaquén,3,2,101,Usaquén,Usaquén,$ 370.000.000,$,370000000,370.0,Zona Norte,5.65558134903221
1693,Apartamento,Apartamento en venta en Usaquén,2,4,140,Usaquén,Usaquén,$ 850.000.000,$,850000000,850.0,Zona Norte,5.65558134903221
1694,Apartamento,Apartamento en venta en Usaquén,2,3,142,Usaquén,Usaquén,$ 800.000.000,$,800000000,800.0,Zona Norte,5.65558134903221
1695,Apartamento,Apartamento en venta en Usaquén,4,3,78,Usaquén,Usaquén,$ 358.000.000,$,358000000,358.0,Zona Norte,5.65558134903221
1696,Apartamento,Apartamento en venta en Usaquén,3,3,101,Usaquén,Usaquén,$ 460.000.000,$,460000000,460.0,Zona Norte,5.65558134903221
1697,Casa,Casa en venta en Usaquén,2,2,82,Usaquén,Usaquén,$ 455.000.000,$,455000000,455.0,Zona Norte,5.65558134903221
1698,Apartamento,Apartamento en venta en Usaquén,3,3,151,Usaquén,Usaquén,$ 670.000.000,$,670000000,670.0,Zona Norte,5.65558134903221
1699,Apartamento,Apartamento en venta en Usaquén,2,3,86,Usaquén,Usaquén,$ 665.000.000,$,665000000,665.0,Zona Norte,5.65558134903221
1700,Apartamento,Apartamento en venta en Usaquén,3,3,104,Usaquén,Usaquén,$ 440.000.000,$,440000000,440.0,Zona Norte,5.65558134903221
1701,Apartamento,Apartamento en venta en Usaquén,4,2,72,Usaquén,Usaquén,$ 270.000.000,$,270000000,270.0,Zona Norte,5.65558134903221
1702,Apartamento,Apartamento en venta en Usaquén,1,2,55,Usaquén,Usaquén,$ 360.000.000,$,360000000,360.0,Zona Norte,5.65558134903221
1703,Apartamento,Apartamento en venta en Usaquén,3,2,125,Usaquén,Usaquén,$ 875.000.000,$,875000000,875.0,Zona Norte,5.65558134903221
1704,Apartamento,Apartamento en venta en Usaquén,2,2,96,Usaquén,Usaquén,$ 980.000.000,$,980000000,980.0,Zona Norte,5.65558134903221
1705,Apartamento,Apartamento en venta en Usaquén,3,2,63,Usaquén,Usaquén,$ 270.000.000,$,270000000,270.0,Zona Norte,5.65558134903221
1706,Apartamento,Apartamento en venta en Usaquén,3,2,94,Usaquén,Usaquén,$ 450.000.000,$,450000000,450.0,Zona Norte,5.65558134903221
1707,Apartamento,Apartamento en venta en Usaquén,3,3,71,Usaquén,Usaquén,$ 384.500.000,$,384500000,384.5,Zona Norte,5.65558134903221
1708,Apartamento,Apartamento en venta en Usaquén,2,2,91,Usaquén,Usaquén,$ 1.010.000.000,$,1010000000,1010.0,Zona Norte,5.65558134903221
1709,Apartamento,Apartamento en venta en Usaquén,2,1,39,Usaquén,Usaquén,$ 155.000.000,$,155000000,155.0,Zona Norte,5.65558134903221
1710,Apartamento,Apartamento en venta en Usaquén,2,1,50,Usaquén,Usaquén,$ 350.000.000,$,350000000,350.0,Zona Norte,5.65558134903221
1713,Apartamento,Apartamento en venta en Usaquén,2,2,67,Usaquén,Usaquén,$ 320.000.000,$,320000000,320.0,Zona Norte,5.65558134903221
1714,Casa,Casa en venta en Usaquén,3,3,131,Usaquén,Usaquén,$ 750.000.000,$,750000000,750.0,Zona Norte,5.65558134903221
1715,Apartamento,Apartamento en venta en Usaquén,2,2,67,Usaquén,Usaquén,$ 320.000.000,$,320000000,320.0,Zona Norte,5.65558134903221
1716,Apartamento,Apartamento en venta en Usaquén,3,2,80,Usaquén,Usaquén,$ 320.000.000,$,320000000,320.0,Zona Norte,5.65558134903221
1717,Apartamento,Apartamento en venta en Usaquén,2,3,144,Usaquén,Usaquén,$ 980.000.000,$,980000000,980.0,Zona Norte,5.65558134903221
1718,Apartamento,Apartamento en venta en Usaquén,2,1,47,Usaquén,Usaquén,$ 170.000.000,$,170000000,170.0,Zona Norte,5.65558134903221
1719,Casa,Casa en venta en Usaquén,4,2,72,Usaquén,Usaquén,$ 350.000.000,$,350000000,350.0,Zona Norte,5.65558134903221
1720,Apartamento,Apartamento en venta en Usaquén,2,2,75,Usaquén,Usaquén,$ 185.000.000,$,185000000,185.0,Zona Norte,5.65558134903221
1721,Apartamento,Apartamento en venta en Usaquén,3,3,138,Usaquén,Usaquén,$ 980.000.000,$,980000000,980.0,Zona Norte,5.65558134903221
1722,Apartamento,Apartamento en venta en Usaquén,3,2,63,Usaquén,Usaquén,$ 240.000.000,$,240000000,240.0,Zona Norte,5.65558134903221
1724,Lote,Lote en venta en Usaquén,4,2,218,Usaquén,Usaquén,$ 1.100.000.000,$,1100000000,1100.0,Zona Norte,5.65558134903221
1726,Apartamento,Apartamento en venta en Usaquén,4,4,156,Usaquén,Usaquén,$ 960.000.000,$,960000000,960.0,Zona Norte,5.65558134903221
1728,Apartamento,Apartamento en venta en Usaquén,2,3,120,Usaquén,Usaquén,$ 599.000.000,$,599000000,599.0,Zona Norte,5.65558134903221
1729,Apartamento,Apartamento en venta en Usaquén,2,2,101,Usaquén,Usaquén,$ 880.000.000,$,880000000,880.0,Zona Norte,5.65558134903221
1730,Apartamento,Apartamento en venta en Usaquén,1,1,38,Usaquén,Usaquén,$ 215.000.000,$,215000000,215.0,Zona Norte,5.65558134903221
1731,Apartamento,Apartamento en venta en Usaquén,1,1,37,Usaquén,Usaquén,$ 205.000.000,$,205000000,205.0,Zona Norte,5.65558134903221
1733,Apartamento,Apartamento en venta en Usaquén,3,3,140,Usaquén,Usaquén,$ 960.000.000,$,960000000,960.0,Zona Norte,5.65558134903221
1734,Casa,Casa en venta en Usaquén,4,3,237,Usaquén,Usaquén,$ 975.000.000,$,975000000,975.0,Zona Norte,5.65558134903221
1735,Apartamento,Apartamento en venta en Usaquén,3,2,73,Usaquén,Usaquén,$ 450.000.000,$,450000000,450.0,Zona Norte,5.65558134903221
1737,Apartamento,Apartamento en venta en Usaquén,3,4,225,Usaquén,Usaquén,$ 1.150.000.000,$,1150000000,1150.0,Zona Norte,5.65558134903221
1738,Apartamento,Apartamento en venta en Usaquén,3,3,220,Usaquén,Usaquén,$ 1.750.000.000,$,1750000000,1750.0,Zona Norte,5.65558134903221
1739,Apartamento,Apartamento en venta en Usaquén,2,2,90,Usaquén,Usaquén,$ 630.000.000,$,630000000,630.0,Zona Norte,5.65558134903221
1740,Apartamento,Apartamento en venta en Usaquén,3,4,190,Usaquén,Usaquén,$ 850.000.000,$,850000000,850.0,Zona Norte,5.65558134903221
1743,Apartamento,Apartamento en venta en Usaquén,4,4,205,Usaquén,Usaquén,$ 1.500.000.000,$,1500000000,1500.0,Zona Norte,5.65558134903221
1744,Casa,Casa en venta en Usaquén,4,2,216,Usaquén,Usaquén,$ 650.000.000,$,650000000,650.0,Zona Norte,5.65558134903221
1745,Apartamento,Apartamento en venta en Usaquén,2,2,60,Usaquén,Usaquén,$ 285.000.000,$,285000000,285.0,Zona Norte,5.65558134903221
1746,Apartamento,Apartamento en venta en Usaquén,2,2,69,Usaquén,Usaquén,$ 410.000.000,$,410000000,410.0,Zona Norte,5.65558134903221
1747,Apartamento,Apartamento en venta en Usaquén,2,2,69,Usaquén,Usaquén,$ 499.000.000,$,499000000,499.0,Zona Norte,5.65558134903221
1748,Apartamento,Apartamento en venta en Usaquén,2,2,50,Usaquén,Usaquén,$ 360.000.000,$,360000000,360.0,Zona Norte,5.65558134903221
1749,Apartamento,Apartamento en venta en Usaquén,3,2,73,Usaquén,Usaquén,$ 310.000.000,$,310000000,310.0,Zona Norte,5.65558134903221
1751,Apartamento,Apartamento en venta en Usaquén,3,3,135,Usaquén,Usaquén,$ 950.000.000,$,950000000,950.0,Zona Norte,5.65558134903221
1752,Apartamento,Apartamento en venta en Usaquén,3,2,101,Usaquén,Usaquén,$ 630.000.000,$,630000000,630.0,Zona Norte,5.65558134903221
1753,Apartamento,Apartamento en venta en Usaquén,3,2,82,Usaquén,Usaquén,$ 450.000.000,$,450000000,450.0,Zona Norte,5.65558134903221
1754,Apartamento,Apartamento en venta en Usaquén,3,2,82,Usaquén,Usaquén,$ 450.000.000,$,450000000,450.0,Zona Norte,5.65558134903221
1755,Apartamento,Apartamento en venta en Usaquén,3,3,122,Usaquén,Usaquén,$ 609.000.000,$,609000000,609.0,Zona Norte,5.65558134903221
1756,Apartamento,Apartamento en venta en Usaquén,2,2,51,Usaquén,Usaquén,$ 336.000.000,$,336000000,336.0,Zona Norte,5.65558134903221
1757,Apartamento,Apartamento en venta en Usaquén,2,1,51,Usaquén,Usaquén,$ 220.000.000,$,220000000,220.0,Zona Norte,5.65558134903221
